material_id,material_name,material_application,climate_zone,durability_requirement,budget_constraint,supplier_name,availability_status,lead_time_days,project_type,project_specifications_match_score,sustainability_focus,supplier_contact_number
MAT2000,Limestone,Insulation,Moderate,50+ years,Premium,Supplier_41,Limited,1,Tunnels,0.55,Standard,+91 9088866000
MAT2001,Marble,Flooring,Moderate,25-50 years,Standard,Supplier_20,Out of Stock,15,Residential,0.96,Standard,+91 9001555196
MAT2002,Paint,Other,Dry,10-25 years,Economy,Supplier_16,Out of Stock,34,Infrastructure,0.1,Standard,+91 99613 85211
MAT2003,Granite,Structural,Coastal,5-10 years,Standard,Supplier_29,Out of Stock,24,Commercial,0.76,Standard,+91 98383 03374
MAT2004,Copper,Structural,Other,10-25 years,Luxury,Supplier_77,In Stock,31,Airports,0.46,Eco-friendly,+91 94166 37805
MAT2005,Ceramic Tile,Insulation,Dry,50+ years,Economy,Supplier_86,Out of Stock,20,Bridges,0.86,Eco-friendly,+91 02225152767
MAT2006,Adhesive,Structural,Mountain,5-10 years,Luxury,Supplier_19,Out of Stock,16,Residential,0.95,Eco-friendly,+91 9108202251
MAT2007,Brick,Other,Rural,50+ years,Luxury,Supplier_23,Out of Stock,32,Other,0.38,Eco-friendly,+91 9057757757
MAT2008,Wood,Insulation,Urban,10-25 years,Standard,Supplier_27,In Stock,45,High-rise buildings,0.36,Eco-friendly,+91 8524779487
MAT2009,Clay,Insulation,Cold,25-50 years,Premium,Supplier_93,In Stock,14,Other,0.11,Eco-friendly,+91 9855480699
MAT2010,Fiber,Insulation,Dry,10-25 years,Standard,Supplier_67,Out of Stock,12,High-rise buildings,0.65,Standard,+91 9814977268
MAT2011,Glass,Finishing,Rural,50+ years,Economy,Supplier_73,Out of Stock,25,Residential,0.2,Eco-friendly,+91 9814977268
MAT2012,Cement,Structural,Rural,25-50 years,Premium,Supplier_21,Out of Stock,29,Bridges,0.25,Eco-friendly,+91 8310234613
MAT2013,Steel,Flooring,Urban,50+ years,Economy,Supplier_91,Out of Stock,52,Residential,0.54,Eco-friendly,+91 9064495443
MAT2014,Aluminum,Flooring,Dry,25-50 years,Standard,Supplier_16,Limited,33,Infrastructure,0.9,Eco-friendly,+91 8065031990
MAT2015,Gypsum,Facade,Cold,5-10 years,Economy,Supplier_42,Limited,60,Airports,0.08,Standard,+91 8406306174
MAT2016,PVC,Decorative,Industrial,5-10 years,Standard,Supplier_27,Out of Stock,27,Other,0.18,Standard,+91 8524779487
MAT2017,Bitumen,Structural,Rural,25-50 years,Luxury,Supplier_47,In Stock,40,Roads and highways,0.07,Eco-friendly,+91 7383612833
MAT2018,Asphalt,Structural,Industrial,50+ years,Luxury,Supplier_40,In Stock,31,Marine structures,0.57,Standard,+91 9781709582
MAT2019,Sandstone,Decorative,Mountain,25-50 years,Premium,Supplier_51,Limited,28,Commercial,0.78,Standard,+91 8070304578
MAT2020,Concrete,Other,Dry,10-25 years,Economy,Supplier_29,In Stock,57,Commercial,0.2,Eco-friendly,+91 8289363518
MAT2021,Plaster,Facade,Hot,50+ years,Luxury,Supplier_73,Limited,44,Infrastructure,0.18,Eco-friendly,+91 7195736923
